gamesPlayed,playerBirthCity,playerBirthCountry,playerBirthDate,playerBirthStateProvince,playerDraftOverallPickNo,playerDraftRoundNo,playerDraftYear,playerFirstName,playerHeight,playerId,playerInHockeyHof,playerIsActive,playerLastName,playerName,playerNationality,playerPositionCode,playerShootsCatches,playerTeamsPlayedFor,playerWeight,seasonId,shotAttempts,shotAttemptsAgainst,shotAttemptsAhead,shotAttemptsBehind,shotAttemptsClose,shotAttemptsFor,shotAttemptsRelPctg,shotAttemptsTied,unblockedShotAttempts,unblockedShotAttemptsAgainst,unblockedShotAttemptsAhead,unblockedShotAttemptsBehind,unblockedShotAttemptsClose,unblockedShotAttemptsFor,unblockedShotAttemptsRelPctg,unblockedShotAttemptsTied
15,Victoriaville,CAN,1993-02-24,QC,26.0,1.0,2011.0,Phillip,73,8476479,0,1,Danault,Phillip Danault,CAN,C,L,MTL,198,20182019,85,171,24,37,55,256,0.0913,24,54,125,17,18,40,179,0.0857,19
15,Cap-Rouge,CAN,1990-12-27,QC,,,,Jonathan,69,8476539,0,1,Marchessault,Jonathan Marchessault,CAN,C,R,VGK,174,20182019,84,181,-3,53,54,265,0.0162,34,52,135,8,25,29,187,0.0077,19
15,Herisau,CHE,1996-10-08,,9.0,1.0,2015.0,Timo,72,8478414,0,1,Meier,Timo Meier,CHE,R,L,SJS,210,20182019,82,164,31,22,47,246,0.0307,29,72,118,27,13,46,190,0.0537,32
16,Toronto,CAN,1983-10-03,ON,,,,Mark,73,8470966,0,1,Giordano,Mark Giordano,CAN,D,L,CGY,200,20182019,82,221,-6,69,30,303,0.0495,19,34,181,-16,39,9,215,0.0241,11
15,Plover,USA,1984-07-11,WI,205.0,7.0,2003.0,Joe,71,8470794,0,1,Pavelski,Joe Pavelski,USA,C,R,SJS,190,20182019,80,168,8,30,65,248,0.0254,42,66,130,6,24,52,196,0.0326,36
15,Sault Ste. Marie,CAN,1992-10-29,ON,151.0,5.0,2012.0,Colin,73,8476525,0,1,Miller,Colin Miller,CAN,D,R,VGK,196,20182019,76,204,2,63,44,280,-0.0077,11,50,142,4,38,24,192,-0.0011,8
14,Havirov,CZE,1996-05-25,,25.0,1.0,2014.0,David,72,8477956,0,1,Pastrnak,David Pastrnak,CZE,R,R,BOS,194,20182019,76,164,11,31,53,240,0.1112,34,53,129,7,28,34,182,0.1022,18
15,Barrie,CAN,1985-03-09,ON,20.0,1.0,2003.0,Brent,77,8470613,0,1,Burns,Brent Burns,CAN,D,R,SJS,230,20182019,73,236,12,12,44,309,-0.018,49,51,179,9,6,32,230,-0.0258,36
15,Rauma,FIN,1997-07-26,,35.0,2.0,2015.0,Sebastian,71,8478427,0,1,Aho,Sebastian Aho,FIN,C,L,CAR,172,20182019,71,180,21,35,33,251,-0.0464,15,61,126,15,33,34,187,-0.0312,13
15,Davidson,CAN,1991-01-21,SK,66.0,3.0,2009.0,Brayden,76,8475188,0,1,McNabb,Brayden McNabb,CAN,D,L,VGK,212,20182019,70,195,-3,53,43,265,-0.0111,20,53,138,-2,36,30,191,0.0075,19
14,Biddeford,USA,1991-09-06,ME,51.0,2.0,2009.0,Brian,76,8475208,0,1,Dumoulin,Brian Dumoulin,USA,D,L,PIT,207,20182019,70,222,9,28,38,292,0.1028,33,40,171,7,8,18,211,0.0724,25
15,Montreal,CAN,1987-03-30,QC,35.0,2.0,2005.0,Marc-Edouard,73,8471709,0,1,Vlasic,Marc-Edouard Vlasic,CAN,D,L,SJS,205,20182019,70,239,29,15,42,309,-0.023,26,51,186,26,5,31,237,-0.0297,20
15,Shaunavon,CAN,1985-02-27,SK,8.0,1.0,2003.0,Braydon,77,8470601,0,1,Coburn,Braydon Coburn,CAN,D,L,TBL,223,20182019,67,198,11,34,49,265,0.0532,22,66,134,21,28,42,200,0.0943,17
15,Victoria,CAN,1987-07-26,BC,,,,Jordie,74,8474818,0,1,Benn,Jordie Benn,CAN,D,L,MTL,199,20182019,66,178,20,24,30,244,0.0596,22,48,127,20,19,18,175,0.0717,9
13,Karlskrona,SWE,1991-07-17,,6.0,1.0,2009.0,Oliver,74,8475171,0,1,Ekman-Larsson,Oliver Ekman-Larsson,SWE,D,L,ARI,200,20182019,65,205,3,43,39,270,0.0781,19,19,171,-2,16,17,190,0.0176,5
15,Mimico,CAN,1991-04-01,ON,69.0,3.0,2009.0,Reilly,72,8475191,0,1,Smith,Reilly Smith,CAN,R,L,VGK,185,20182019,64,176,-10,39,42,240,-0.0094,35,43,128,2,20,20,171,-0.0054,21
15,Marsta,SWE,1993-01-08,,53.0,2.0,2011.0,William,73,8476448,0,1,Karlsson,William Karlsson,SWE,C,L,VGK,189,20182019,62,178,-5,41,38,240,-0.0134,26,41,130,5,18,20,171,-0.0109,18
15,Bayonne,FRA,1993-07-29,,48.0,2.0,2011.0,Xavier,72,8476443,0,1,Ouellet,Xavier Ouellet,FRA,D,L,MTL,196,20182019,60,193,2,38,38,253,0.0448,20,38,133,3,24,24,171,0.047,11
15,St. Albert,CAN,1987-05-15,AB,,,,Nick,76,8474207,0,1,Holden,Nick Holden,CAN,D,L,VGK,214,20182019,60,184,-13,42,44,244,-0.0196,31,42,137,0,18,34,179,-0.0136,24
15,Swan River,CAN,1992-04-20,MB,133.0,5.0,2010.0,Micheal,74,8475907,0,1,Ferland,Micheal Ferland,CAN,L,L,CAR,208,20182019,60,175,20,32,18,235,-0.0585,8,57,121,15,30,27,178,-0.0336,12
12,Newmarket,CAN,1996-12-22,ON,34.0,2.0,2015.0,Travis,72,8478408,0,1,Dermott,Travis Dermott,CAN,D,L,TOR,204,20182019,59,139,26,21,44,198,0.1342,12,33,106,16,13,26,139,0.122,4
15,London,CAN,1997-03-11,ON,24.0,1.0,2015.0,Travis,70,8478439,0,1,Konecny,Travis Konecny,CAN,R,R,PHI,175,20182019,57,143,11,37,30,200,0.1273,9,39,102,14,25,21,141,0.116,0
